Words,Count
anybody,274
slow,884
wear,421
drink,653
ugh,418
breathe,260
chuck,206
chicken,206
spray,201
threw,188
selling,221
police,450
aap,444
ferg,210
bird,211
youve,343
trapped,204
has,557
because,1313
de,199
alright,757
push,526
bunch,284
yourself,665
hook,4640
action,358
ahh,257
playin,471
cum,193
serve,195
summer,257
spend,574
second,365
projects,211
dangerous,182
famous,219
together,720
hood,1195
tv,260
smokin,390
corner,412
aye,282
having,325
uhh,643
believe,1136
mean,1446
callin,297
mo,397
problems,306
shows,232
pocket,412
steady,302
everyday,284
jet,289
trippin,240
blunts,240
shout,268
family,632
air,740
yall,1232
girl,3896
cry,548
ay,475
later,303
candy,216
almost,224
fun,384
heart,1287
once,764
jump,643
press,202
dem,374
glock,373
box,339
split,258
ways,318
set,864
lead,261
happy,355
freak,506
pullin,202
id,599
attention,244
goddamn,302
sorry,476
youd,215
bottom,380
follow,515
guns,507
pistol,288
place,1087
perfect,347
kush,222
job,387
truth,638
soft,318
taught,250
bobby,252
type,741
fifty,204
chicks,196
caught,732
clip,313
star,467
loose,267
rip,412
rain,703
nope,283
east,372
atlanta,200
6,294
trick,372
walking,252
dip,302
trip,392
lips,280
hip,263
shake,853
sip,281
fell,344
tears,307
gave,878
chill,544
late,510
cross,247
world,2514
bank,402
clothes,521
lee,413
teeth,262
cap,226
our,1735
year,539
fam,211
bricks,318
9,266
diamond,233
open,916
10,266
jewels,204
sell,587
food,329
fools,224
nicki,288
minaj,215
mmm,219
carry,209
movie,273
picture,490
pound,289
whos,371
haters,442
paint,291
ghost,261
remember,888
pretty,610
single,315
easy,447
beautiful,392
level,455
step,813
drinking,182
r,225
killer,278
sex,766
brother,797
aim,210
pablo,194
trying,837
figure,239
fans,196
monster,193
youll,811
piece,405
either,320
course,240
bet,572
trunk,269
their,1021
nuts,239
sight,198
doors,264
week,362
ground,320
throwin,187
wiz,236
khalifa,214
clear,388
wayne,425
hate,1251
ladies,426
throw,1265
kim,315
fight,728
last,1368
build,188
hole,227
wish,812
thank,384
harder,278
theyre,453
nobody,1257
homies,412
sounds,199
lovin,182
jail,367
gets,564
magic,313
wrote,289
c,359
wall,435
somewhere,203
different,810
couldnt,665
woke,247
matter,859
handle,297
rolling,337
plan,459
stars,310
raw,443
hmm,200
honey,229
smooth,235
platinum,198
country,209
park,313
another,1757
dreams,605
vibe,282
ear,253
mike,355
kitchen,269
bottle,285
started,841
used,1575
hands,1038
evil,273
drunk,383
boat,211
rocky,205
chrome,224
versace,381
feds,230
days,875
phone,840
saying,670
saw,503
worst,203
making,599
dr,210
rather,426
facts,218
feeling,749
needed,248
nothing,1344
past,478
waiting,333
changed,367
codeine,195
finna,348
drake,338
standing,208
middle,327
baddest,187
rhythm,227
shes,658
fit,267
listen,1027
finger,370
mr,556
mess,198
men,427
scream,268
problem,494
acting,246
weight,264
write,477
lord,1047
bro,236
realest,226
everyone,257
fade,280
date,196
bomb,281
tour,216
asked,261
motherfuckers,484
forever,791
cock,230
trust,754
juice,350
mc,481
hammer,187
wonder,533
yea,247
chance,383
duck,209
killa,526
shot,1040
hol,251
telling,272
doing,852
shirt,181
wave,356
takes,222
battle,198
until,833
hes,861
whatever,639
pictures,210
load,218
trees,205
hoe,332
blunt,377
king,936
dream,737
rhymes,678
earth,358
times,747
theyll,256
gimme,311
sun,467
mob,186
unless,213
till,301
mission,208
brothers,385
supposed,328
most,754
lights,509
zone,353
such,262
player,279
close,725
known,339
cats,247
skin,294
class,276
quick,635
blowing,282
vision,236
women,552
shut,474
murder,698
working,210
sold,438
pray,657
birthday,185
busy,228
lives,217
father,384
oooh,197
cmon,486
dirty,625
means,374
favorite,256
swing,257
thinkin,476
nice,562
bein,277
tree,182
clap,441
burn,410
miller,237
twerk,239
tight,486
mix,250
rick,392
sent,255
court,212
state,393
store,330
test,314
shorty,443
waste,228
great,372
chris,233
chains,317
hang,438
titties,196
teach,228
drug,374
p,520
master,466
short,262
goes,757
bullets,238
2x,206
imma,657
crowd,325
thang,509
respect,637
industry,185
ghetto,648
lyrical,195
played,320
news,291
moves,289
imagine,217
records,199
fiends,188
thatll,256
-,1719
strapped,192
kane,291
probably,688
table,199
naked,227
raise,230
ma,200
low,1015
stacks,243
dark,484
dj,500
holla,269
third,211
walls,202
scene,310
west,806
coast,344
wicked,248
blind,269
funk,212
alone,769
sad,243
dirt,360
workin,252
fo,209
upon,190
lotta,188
died,290
loved,223
minute,478
2pac,317
sometimes,628
nights,230
heaven,433
seem,279
alive,519
may,436
bodies,219
public,220
liquor,276
puff,316
empty,194
must,870
represent,266
grill,192
funny,382
mack,214
doubt,381
across,234
noise,184
bills,205
cent,241
girlfriend,212
punk,286
sucker,243
rapper,413
guess,892
smack,187
trigger,249
drama,270
hip-hop,469
guy,332
enemy,210
slap,199
bars,310
cell,239
dome,183
stupid,498
rules,260
enemies,265
record,433
